"Category (S)","Title (S)","ShortTitle (S)","ProductID (S)","Weight (N)","Price (N)","Discounted Price (N)","Image (S)","Description (S)","Catalog Weight (S)"
"Category 6","GARNIER F.W LIGHT&RADNT 50ML","GARNIER F.W LIGHT&RADNT 50ML","8964001174400","","189","","","",""
"Category 6","GARNIER F.W LIGHT&RADNT 100ML","GARNIER F.W LIGHT&RADNT 100ML","8964001174417","","250","","","",""
"Category 6","GARNIER SCRUB L&R SKN NAT 100ML","GARNIER SCRUB L&R SKN NAT 100ML","8964001174448","","249","","","",""
"Category 6","JUNSUI F.W PIMPLE FIGHT 100G","JUNSUI F.W PIMPLE FIGHT 100G","8992222300148","","325","","","",""
"Category 6","JUNSUI F.W PAPAYA","JUNSUI F.W PAPAYA","8992222300179","","325","","","",""
"Category 6","JUNSUI F.W WAT COL","JUNSUI F.W WAT COL","8992222300162","","325","","","",""
"Category 6","JUNSUI F.W IDECL","JUNSUI F.W IDECL","8992222300360","","325","","","",""
"Category 6","JUNSUI F.W RADIANCE","JUNSUI F.W RADIANCE","8992222300377","","325","","","",""
"Category 6","GARNIER PURE ACT 3IN1 50ML","GARNIER PURE ACT 3IN1 50ML","361034022382","","199.01","","","",""
"Category 6","GARNIER PURE ACT 3IN1 100ML","GARNIER PURE ACT 3IN1 100ML","361034022399","","329","","","",""
"Category 6","EU F.W DAILY 100ML","EU F.W DAILY 100ML","8964000047354","","99.01","","","",""
"Category 6","EU F.W OIL CNTRL 100ML","EU F.W OIL CNTRL 100ML","8964000047361","","99.01","","","",""
"Category 6","EU F.W FAIRNESS 100ML","EU F.W FAIRNESS 100ML","8964000047378","","99.01","","","",""
"Category 6","HEMANI F.W ACNE 100ML","HEMANI F.W ACNE 100ML","5907747205901","","95","","","",""
"Category 6","HEMANI F.W ALO V 100ML","HEMANI F.W ALO V 100ML","5907747205871","","95","","","",""
"Category 6","HEMANI F.W MILK 100ML","HEMANI F.W MILK 100ML","5907747205895","","95","","","",""
"Category 6","HEMANI F.W CUCUMBER 100ML","HEMANI F.W CUCUMBER 100ML","5907747205888","","95","","","",""
"Category 6","F&L SKIN CARE HERBAL 70ML","F&L SKIN CARE HERBAL 70ML","8961014234954","","213.68","","","",""
